product_category,unit_price,unit_cost,historical_avg_sales,lead_time_days,quarter,actual_demand
Perishables,892.36,640.82,30.7,19,Q2,26
Perishables,459.13,220.28,102.7,20,Q2,114
Automotive,145.02,73.89,59.3,20,Q3,56
Apparel,221.61,163.7,42.6,5,Q3,31
Perishables,383.23,183.57,117.7,14,Q3,97
Raw Materials,235.98,156.32,94.3,13,Q4,96
Raw Materials,828.08,578.29,74.4,22,Q4,63
Perishables,76.0,47.81,44.6,14,Q4,39
Apparel,505.55,355.06,114.5,26,Q1,87
Apparel,328.71,170.96,94.5,12,Q1,73
Apparel,44.29,32.25,95.1,3,Q2,95
Apparel,686.91,314.6,94.0,18,Q4,103
Perishables,656.34,353.91,68.4,13,Q2,66
Electronics,921.76,433.3,46.3,20,Q2,35
Apparel,641.03,390.23,22.9,22,Q4,26
Electronics,537.42,332.76,52.1,27,Q4,62
Electronics,806.71,531.65,19.2,25,Q4,19
Apparel,901.68,611.15,87.9,24,Q2,62
Electronics,454.62,244.71,80.3,9,Q3,72
Electronics,209.96,105.11,87.5,9,Q4,113
Apparel,132.16,72.32,41.3,7,Q2,25
Electronics,294.5,203.96,17.2,25,Q4,19
Perishables,853.71,581.84,100.8,6,Q3,71
Perishables,761.32,433.09,23.0,15,Q4,18
Raw Materials,48.57,24.64,76.5,6,Q1,64
Apparel,445.61,222.43,119.7,20,Q4,149
Raw Materials,577.64,345.59,30.8,11,Q2,27
Electronics,666.28,342.8,36.5,16,Q1,31
Electronics,886.18,536.02,63.7,24,Q4,59
Electronics,454.16,264.88,114.0,27,Q2,93
Apparel,159.22,90.71,55.8,21,Q2,42
Perishables,881.29,523.03,60.4,10,Q4,45
Raw Materials,433.82,262.35,16.9,21,Q4,16
Perishables,602.91,396.14,119.4,11,Q1,82
Electronics,79.28,52.1,102.7,7,Q2,103
Electronics,920.64,601.67,115.7,16,Q2,76
Automotive,644.33,381.18,91.0,9,Q1,54
Perishables,411.32,284.88,97.7,22,Q4,96
Apparel,151.46,89.33,76.3,26,Q2,83
Electronics,104.12,69.4,114.2,20,Q3,110
Automotive,875.16,604.53,92.3,9,Q2,70
Perishables,637.14,387.7,19.9,22,Q1,19
Apparel,110.2,72.53,25.9,21,Q3,29
Apparel,850.1,568.63,68.4,16,Q2,37
Apparel,710.73,518.1,81.1,20,Q3,59
Perishables,687.12,504.63,28.9,26,Q2,22
Apparel,784.24,506.72,93.7,23,Q3,64
Automotive,915.32,507.29,37.1,20,Q2,23
Raw Materials,247.57,117.18,33.5,17,Q1,21
Electronics,271.84,129.3,94.5,27,Q1,75
Raw Materials,159.28,82.85,42.8,10,Q3,37
Automotive,836.24,606.42,113.1,19,Q2,64
Perishables,388.68,198.85,109.8,26,Q3,92
Apparel,503.29,355.21,25.9,6,Q1,20
Perishables,539.26,246.97,28.8,15,Q1,20
Automotive,854.53,391.7,72.4,11,Q1,43
Electronics,442.58,325.82,108.2,11,Q4,128
Raw Materials,169.97,91.99,84.5,16,Q3,80
Perishables,791.17,580.08,105.6,9,Q2,95
Electronics,779.3,384.96,102.5,3,Q2,74
Electronics,85.96,63.34,112.1,18,Q1,96
Perishables,336.46,169.88,15.0,8,Q4,12
Perishables,391.48,236.66,109.0,17,Q2,119
Raw Materials,152.19,107.41,60.2,12,Q2,52
Apparel,730.13,414.86,20.3,8,Q1,24
Perishables,841.71,498.09,67.9,11,Q1,29
Electronics,98.47,54.86,117.7,12,Q1,100
Perishables,483.6,309.87,99.2,4,Q1,60
Electronics,649.67,473.23,102.5,20,Q1,65
Automotive,758.25,561.59,61.4,16,Q1,33
Apparel,925.09,525.41,61.5,4,Q4,48
Electronics,263.86,155.78,57.3,27,Q3,56
Perishables,129.05,74.48,34.8,11,Q3,28
Apparel,113.44,51.3,20.2,18,Q3,19
Electronics,506.44,339.15,80.1,11,Q1,49
Perishables,747.37,435.71,19.4,16,Q4,17
Electronics,900.65,622.23,43.3,26,Q4,37
Raw Materials,394.98,273.18,54.2,10,Q1,40
Perishables,653.51,365.98,59.4,13,Q1,46
Electronics,279.35,195.8,41.4,22,Q3,36
Automotive,805.62,464.09,49.2,20,Q1,25
Perishables,300.5,187.17,100.1,18,Q3,99
Perishables,157.01,116.89,41.2,13,Q2,51
Electronics,668.46,386.56,68.0,24,Q3,56
Automotive,342.79,249.77,59.5,9,Q3,46
Apparel,271.27,136.3,87.2,23,Q3,73
Raw Materials,145.72,82.35,87.5,17,Q2,79
Raw Materials,418.36,254.88,70.4,6,Q4,73
Automotive,236.67,164.48,103.5,14,Q3,87
Apparel,823.34,616.16,28.4,6,Q2,18
Automotive,626.73,406.18,103.4,5,Q1,78
Raw Materials,632.25,452.14,108.7,23,Q2,89
Electronics,125.53,83.2,57.5,5,Q1,37
Perishables,946.63,469.85,111.0,19,Q2,95
Electronics,799.33,399.74,50.1,9,Q1,36
Apparel,74.91,36.61,76.2,27,Q1,75
Automotive,535.21,400.12,20.7,20,Q1,14
Raw Materials,113.76,60.87,86.3,15,Q1,73
Raw Materials,823.61,598.35,67.9,9,Q1,46
Raw Materials,906.93,570.05,102.5,6,Q1,66
Automotive,901.2,563.7,107.8,24,Q1,60
Electronics,209.2,142.82,17.4,15,Q3,15
Raw Materials,539.83,283.68,20.9,11,Q3,26
Automotive,500.29,291.11,112.8,26,Q1,88
Electronics,622.84,418.65,27.5,23,Q3,32
Perishables,455.1,274.11,97.8,23,Q4,93
Electronics,214.6,157.01,58.9,16,Q1,48
Automotive,914.81,560.15,41.5,27,Q2,23
Automotive,412.12,227.25,70.7,10,Q1,53
Apparel,654.84,384.54,70.5,6,Q2,46
Apparel,853.63,404.65,101.2,27,Q2,79
Automotive,374.12,219.73,89.2,16,Q4,95
Perishables,682.0,374.06,90.6,23,Q1,63
Electronics,682.15,411.49,58.8,15,Q2,47
Raw Materials,214.73,106.94,109.0,18,Q2,108
Electronics,941.1,646.7,39.3,5,Q2,32
Automotive,755.74,495.94,48.6,17,Q1,23
Electronics,232.2,152.33,109.7,18,Q2,97
Apparel,331.69,174.69,34.9,27,Q4,41
Apparel,123.96,65.84,68.9,3,Q2,60
Automotive,860.07,451.36,19.3,6,Q4,12
Automotive,846.6,422.14,19.6,5,Q2,19
Apparel,342.75,211.99,32.3,7,Q4,39
Electronics,508.26,350.68,87.0,11,Q4,102
Raw Materials,140.26,74.84,82.4,11,Q3,83
Apparel,312.1,204.43,44.1,8,Q4,57
Apparel,351.52,182.46,48.8,15,Q4,61
Perishables,937.56,558.99,93.7,12,Q1,48
Perishables,196.93,113.45,65.7,17,Q1,46
Automotive,719.97,472.66,90.5,8,Q1,61
Electronics,657.09,411.12,51.1,18,Q4,44
Apparel,946.98,496.94,52.3,25,Q4,44
Raw Materials,476.36,355.01,18.5,11,Q2,22
Raw Materials,294.32,169.36,30.2,7,Q2,26
Apparel,89.76,56.35,15.6,3,Q2,19
Apparel,884.79,649.05,59.6,25,Q3,50
Raw Materials,913.23,579.4,24.2,4,Q2,15
Apparel,872.3,599.62,23.3,10,Q4,17
Perishables,461.69,263.24,19.9,27,Q1,16
Automotive,878.49,624.97,87.3,14,Q1,52
Automotive,721.02,484.09,108.6,20,Q4,96
Apparel,396.3,212.42,118.2,27,Q2,97
Electronics,629.71,408.29,89.4,24,Q1,51
Apparel,335.24,217.82,93.7,25,Q1,70
Apparel,888.7,497.9,107.3,6,Q4,102
Perishables,815.71,489.35,76.0,23,Q3,59
Electronics,40.65,19.06,86.5,25,Q3,86
Electronics,74.42,53.07,85.4,11,Q3,87
Raw Materials,808.41,548.29,20.9,9,Q4,19
Automotive,432.67,294.66,76.6,7,Q2,53
Electronics,532.3,285.0,62.4,24,Q2,56
Raw Materials,899.13,583.73,56.2,27,Q4,41
Raw Materials,72.55,42.91,62.8,17,Q1,44
Electronics,468.69,293.7,61.1,5,Q3,53
Apparel,599.23,299.83,18.5,18,Q1,7
Raw Materials,147.71,82.17,98.0,9,Q4,95
Automotive,413.58,281.48,107.6,11,Q3,92
Automotive,303.79,226.52,80.9,26,Q2,65
Automotive,354.7,227.95,78.0,9,Q4,72
Perishables,721.73,470.11,71.2,19,Q2,67
Raw Materials,393.66,246.11,24.9,13,Q4,21
Raw Materials,553.42,333.02,37.1,5,Q3,30
Electronics,498.25,253.86,89.3,22,Q3,78
Raw Materials,855.82,389.57,42.1,14,Q4,22
Perishables,284.9,145.03,19.7,14,Q1,9
Electronics,778.09,563.12,107.5,18,Q2,76
Electronics,594.22,308.58,64.6,25,Q1,53
Raw Materials,138.35,85.66,23.4,24,Q3,28
Automotive,825.78,427.95,25.0,3,Q4,11
Apparel,334.96,153.0,42.6,17,Q3,35
Apparel,367.0,222.91,74.1,25,Q2,60
Electronics,230.68,162.97,29.8,26,Q2,20
Perishables,97.57,55.53,97.4,26,Q2,125
Automotive,840.74,378.4,19.1,13,Q3,5
Raw Materials,857.09,609.77,43.9,25,Q2,34
Apparel,422.51,203.42,42.2,21,Q3,36
Apparel,360.34,225.84,91.8,11,Q3,86
Apparel,232.02,126.1,47.5,10,Q4,63
Perishables,310.88,171.63,87.1,11,Q1,70
Raw Materials,593.81,345.62,43.7,4,Q4,33
Automotive,135.08,72.12,51.3,12,Q1,35
Automotive,132.78,83.46,94.4,22,Q1,78
Automotive,803.86,494.82,56.9,15,Q4,41
Automotive,770.97,515.32,108.9,14,Q2,76
Automotive,413.56,281.62,37.4,16,Q4,28
Apparel,746.67,375.95,52.1,13,Q2,46
Electronics,762.89,549.52,43.3,20,Q2,29
Automotive,525.47,385.78,43.2,3,Q2,40
Perishables,469.16,251.8,28.4,24,Q1,24
Electronics,913.84,495.35,96.2,15,Q3,59
Electronics,338.27,166.42,42.0,6,Q2,32
Perishables,893.63,629.17,65.5,4,Q1,36
Automotive,158.21,84.7,87.0,4,Q3,85
Electronics,267.46,151.69,71.0,17,Q2,52
Electronics,747.69,395.05,86.7,11,Q4,87
Perishables,905.05,480.67,39.1,12,Q2,33
Apparel,928.23,547.94,23.7,5,Q1,20
Raw Materials,441.09,253.44,99.8,13,Q4,90
Raw Materials,868.69,400.73,67.0,27,Q2,46
Automotive,741.07,444.73,97.6,18,Q2,67
Perishables,713.68,468.29,33.0,21,Q1,31
Automotive,940.3,513.64,83.8,9,Q1,44
Perishables,889.59,435.72,69.6,21,Q4,52
Automotive,550.65,334.47,86.6,22,Q1,65
Apparel,530.47,352.04,58.6,12,Q1,31
Perishables,72.95,42.65,17.3,7,Q3,22
Electronics,259.86,142.49,25.8,6,Q4,27
Perishables,204.94,109.93,28.3,6,Q2,31
Electronics,893.34,645.55,20.5,24,Q3,8
Perishables,937.89,529.16,35.9,20,Q3,30
Electronics,254.77,135.24,20.9,23,Q3,10
Electronics,41.65,28.44,45.3,12,Q1,29
Apparel,513.35,328.83,56.5,8,Q1,40
Automotive,228.63,145.56,94.6,18,Q1,77
Perishables,662.07,495.99,113.4,3,Q1,65
Automotive,644.31,433.92,21.1,3,Q2,17
Apparel,857.29,454.81,68.2,18,Q4,67
Perishables,325.16,215.09,112.5,12,Q1,83
Perishables,569.3,260.38,76.9,17,Q2,82
Raw Materials,224.72,138.08,49.0,27,Q4,50
Perishables,867.4,624.07,31.0,24,Q1,13
Automotive,656.38,487.48,62.6,15,Q3,42
Apparel,76.94,48.69,111.8,25,Q4,150
Automotive,225.86,152.64,41.4,18,Q4,39
Apparel,117.9,81.93,17.3,14,Q4,17
Perishables,52.69,29.13,65.4,22,Q1,48
Perishables,103.38,59.27,83.2,11,Q2,108
Perishables,70.62,49.98,17.8,15,Q1,19
Perishables,811.04,500.91,22.8,12,Q3,20
Apparel,922.19,499.86,34.9,26,Q1,22
Apparel,626.43,464.49,17.1,11,Q2,15
Electronics,507.47,344.03,19.2,7,Q4,26
Automotive,937.19,522.96,114.3,20,Q4,90
Perishables,828.92,435.99,21.2,14,Q4,19
Electronics,441.52,322.53,85.6,21,Q4,94
Raw Materials,548.35,262.61,93.2,17,Q2,69
Automotive,755.09,461.56,32.8,10,Q1,19
Automotive,593.24,342.46,73.2,18,Q3,62
Automotive,628.43,314.83,102.6,13,Q2,83
Electronics,219.56,143.77,108.7,13,Q1,83
Raw Materials,49.41,27.78,95.2,6,Q2,95
Electronics,758.78,428.33,21.6,24,Q1,5
Automotive,568.47,360.16,44.1,12,Q4,31
Perishables,186.15,120.59,32.9,15,Q3,42
Raw Materials,343.25,196.16,115.4,21,Q1,91
Perishables,719.09,501.44,88.9,18,Q2,76
Apparel,494.12,232.5,103.9,15,Q2,81
Apparel,230.45,172.58,22.0,23,Q4,21
Perishables,947.39,491.01,108.2,22,Q4,68
Perishables,732.24,516.26,64.7,7,Q4,51
Perishables,675.15,506.05,28.7,18,Q3,17
Perishables,82.09,55.01,59.1,26,Q1,46
Perishables,649.02,472.79,20.6,23,Q4,17
Electronics,276.66,158.72,74.3,3,Q4,84
Automotive,652.9,467.15,61.4,21,Q1,36
Electronics,220.02,109.35,49.6,18,Q3,52
Perishables,907.52,653.12,46.0,17,Q2,44
Electronics,60.52,44.38,33.0,22,Q4,49
Electronics,751.58,528.59,66.5,24,Q4,74
Electronics,421.76,276.27,29.4,14,Q4,24
Raw Materials,118.65,60.54,64.2,19,Q1,52
Perishables,301.67,196.11,73.3,26,Q3,78
Automotive,645.26,350.21,15.0,8,Q1,16
Raw Materials,873.51,579.68,107.8,23,Q3,82
Apparel,175.15,109.61,111.9,23,Q4,149
Apparel,188.13,113.49,31.5,25,Q2,29
Electronics,522.2,330.29,81.7,23,Q3,61
Apparel,394.91,248.01,71.8,7,Q3,59
Apparel,468.39,227.9,100.8,26,Q2,80
Perishables,581.3,377.5,99.3,18,Q2,96
Automotive,658.39,480.54,96.1,6,Q1,62
Electronics,195.18,93.84,86.8,23,Q4,127
Automotive,483.92,317.27,115.0,11,Q1,75
Raw Materials,220.77,146.99,22.3,20,Q3,27
Electronics,96.0,64.23,47.8,21,Q4,54
Electronics,772.22,547.22,95.1,4,Q1,48
Raw Materials,48.68,30.63,92.7,15,Q3,93
Perishables,521.98,337.02,57.3,24,Q3,57
Automotive,840.25,507.25,87.2,24,Q1,49
Electronics,180.88,115.6,110.7,25,Q1,93
Raw Materials,730.72,435.91,31.9,16,Q1,21
Raw Materials,203.8,122.12,81.8,21,Q4,74
Raw Materials,276.25,171.51,85.8,24,Q2,82
Apparel,71.67,44.95,100.1,16,Q4,130
Perishables,589.88,296.03,58.9,15,Q4,60
Apparel,543.68,326.79,61.2,26,Q3,40
Apparel,219.23,137.27,67.5,14,Q2,72
Automotive,441.1,267.44,36.4,22,Q4,34
Perishables,415.01,306.82,112.8,22,Q2,125
Automotive,51.9,36.25,41.5,25,Q2,58
Perishables,94.67,61.76,77.4,12,Q1,68
Raw Materials,402.95,192.88,99.9,15,Q3,84
Automotive,572.79,375.35,47.5,24,Q3,44
Automotive,516.62,383.67,42.7,3,Q3,31
Raw Materials,418.27,256.04,102.0,11,Q4,95
Electronics,629.81,330.99,93.1,15,Q3,67
Apparel,773.43,512.9,59.8,18,Q2,48
Perishables,809.16,479.32,109.6,7,Q4,94
Raw Materials,393.56,192.96,80.5,14,Q1,54
Raw Materials,234.5,129.63,33.5,13,Q4,34
Raw Materials,391.13,178.11,23.4,4,Q4,30
Apparel,577.59,329.33,44.6,25,Q3,36
Electronics,176.09,126.58,112.8,5,Q3,102
Automotive,720.61,497.88,33.2,19,Q3,17
Electronics,420.05,222.21,99.6,23,Q3,82
Electronics,266.53,152.69,98.2,23,Q1,77
Apparel,810.26,488.48,58.2,24,Q3,32
Apparel,348.64,249.86,96.2,16,Q4,121
Raw Materials,321.06,177.34,62.5,21,Q3,52
Apparel,146.51,101.76,85.2,5,Q1,68
Automotive,692.14,428.3,17.4,18,Q4,17
Automotive,155.16,94.18,66.7,21,Q2,64
Raw Materials,417.51,216.96,31.3,10,Q4,29
Apparel,590.86,427.71,51.4,16,Q1,32
Raw Materials,325.78,199.42,23.8,9,Q2,19
Automotive,419.19,265.92,103.4,8,Q1,69
Perishables,47.52,24.52,19.4,15,Q3,8
Apparel,571.64,270.93,52.0,19,Q1,33
Electronics,115.23,82.06,113.0,7,Q2,112
Electronics,633.88,463.75,64.4,19,Q3,51
Apparel,98.69,57.01,62.7,11,Q3,60
Automotive,800.36,412.05,91.0,16,Q1,66
Apparel,669.58,374.15,38.5,15,Q2,18
Apparel,874.29,508.79,25.0,13,Q2,5
Raw Materials,430.24,271.14,56.5,6,Q3,52
Raw Materials,48.83,34.57,20.4,11,Q1,21
Perishables,58.67,37.6,80.8,18,Q2,97
Apparel,612.14,357.42,91.9,20,Q4,107
Raw Materials,519.63,383.77,83.6,7,Q1,62
Perishables,580.84,332.19,104.0,8,Q2,104
Raw Materials,701.67,503.66,79.0,8,Q2,62
Raw Materials,120.09,57.87,53.5,10,Q4,42
Perishables,326.09,165.32,105.7,15,Q2,113
Apparel,887.03,599.88,44.2,22,Q2,19
Raw Materials,64.21,37.33,50.8,20,Q2,54
Raw Materials,214.75,119.94,16.2,13,Q1,16
Electronics,710.01,410.81,72.7,13,Q4,78
Apparel,593.02,374.67,32.7,22,Q4,42
Raw Materials,278.79,145.55,81.9,26,Q3,68
Raw Materials,673.82,429.35,87.3,14,Q1,48
Perishables,658.63,383.57,25.1,18,Q1,19
Apparel,759.6,484.49,112.9,22,Q1,76
Electronics,524.24,329.91,67.3,11,Q3,58
Electronics,300.86,192.52,84.2,27,Q1,63
Perishables,601.3,342.99,84.2,5,Q3,66
Perishables,833.11,503.61,25.6,22,Q3,25
Apparel,77.76,51.76,73.8,24,Q1,49
Raw Materials,513.72,324.91,103.8,24,Q1,71
Automotive,273.72,167.83,66.4,5,Q1,44
Raw Materials,907.34,539.85,47.3,12,Q3,32
Electronics,365.58,170.91,38.1,25,Q3,32
Perishables,879.47,434.64,68.0,18,Q3,44
Raw Materials,67.75,48.13,43.0,4,Q1,40
Apparel,137.27,75.77,92.8,26,Q4,115
Electronics,226.1,146.65,49.7,15,Q1,39
Automotive,707.6,398.02,117.9,24,Q4,98
Raw Materials,104.63,63.16,106.8,26,Q1,84
Electronics,450.49,214.77,69.6,25,Q2,67
Perishables,153.51,106.46,45.6,18,Q1,38
Apparel,778.22,531.68,42.9,15,Q2,46
Perishables,78.06,43.93,78.3,26,Q3,86
Perishables,893.37,438.96,56.8,4,Q2,54
Electronics,852.63,455.52,78.1,18,Q4,77
Raw Materials,267.5,157.68,86.3,25,Q2,80
Automotive,472.32,241.83,113.6,20,Q2,104
Automotive,582.31,431.26,92.1,23,Q3,75
Apparel,412.37,241.96,34.5,19,Q2,13
Automotive,784.67,437.64,28.2,14,Q2,16
Raw Materials,405.63,193.61,113.0,20,Q2,91
Electronics,913.61,460.33,71.2,19,Q4,61
Apparel,67.57,35.05,43.8,19,Q3,36
Apparel,250.99,128.16,15.9,10,Q3,5
Automotive,655.29,353.44,91.5,26,Q1,51
Electronics,908.07,459.24,64.3,17,Q3,49
Raw Materials,585.36,355.37,57.5,5,Q2,57
Automotive,677.74,319.87,76.2,5,Q1,58
Perishables,614.55,350.94,71.4,8,Q3,58
Apparel,617.43,364.4,70.9,6,Q4,74
Perishables,406.38,196.24,41.9,14,Q1,38
Automotive,129.67,67.79,62.7,25,Q2,57
Raw Materials,131.48,79.04,58.5,23,Q2,58
Apparel,805.35,479.95,39.9,23,Q3,11
Apparel,526.29,263.26,41.1,25,Q4,41
Apparel,741.44,483.3,52.5,22,Q3,36
Apparel,501.31,272.6,33.8,17,Q1,25
Perishables,309.76,206.29,38.1,16,Q4,50
Apparel,777.57,355.39,71.8,18,Q3,54
Raw Materials,112.61,70.34,101.7,8,Q2,102
Raw Materials,465.3,261.52,68.8,20,Q2,66
Automotive,562.02,346.52,109.7,24,Q1,75
Raw Materials,129.63,86.91,103.9,23,Q4,107
Apparel,203.35,105.8,91.8,4,Q1,63
Apparel,358.37,192.63,109.9,27,Q4,126
Apparel,488.65,251.3,83.1,10,Q3,73
Automotive,940.16,574.71,113.9,24,Q2,69
Perishables,229.3,148.75,50.8,10,Q3,44
Apparel,165.36,105.71,77.0,23,Q2,81
Perishables,653.34,383.87,64.6,27,Q3,53
Apparel,400.57,251.57,51.5,13,Q3,47
Electronics,309.0,166.36,102.7,11,Q4,127
Automotive,513.28,257.11,89.5,8,Q4,76
Raw Materials,103.15,52.52,99.6,4,Q4,99
Automotive,85.56,41.74,66.8,10,Q4,83
