carrier_name,distance_km,transit_days_expected,traffic_congestion,weather_impact_score,order_priority,is_delayed
DHL Express Global,1957.4,4,MEDIUM,0.33,LOW,0
UPS Supply Chain Solutions,1045.5,3,LOW,0.25,MEDIUM,0
FedEx Freight,947.3,3,MEDIUM,0.06,HIGH,0
FedEx Freight,2576.1,5,LOW,0.98,HIGH,0
UPS Supply Chain Solutions,2676.7,5,LOW,0.92,LOW,1
Maersk Intermodal,3620.8,7,LOW,0.24,MEDIUM,1
Maersk Intermodal,1796.0,3,LOW,0.85,HIGH,0
UPS Supply Chain Solutions,709.7,2,HIGH,0.71,LOW,0
DHL Express Global,2563.1,6,MEDIUM,0.36,URGENT,0
UPS Supply Chain Solutions,2345.8,5,MEDIUM,0.96,HIGH,1
DHL Express Global,2121.4,5,HIGH,0.34,HIGH,0
DHL Express Global,2576.9,6,MEDIUM,0.33,HIGH,0
Maersk Intermodal,696.3,3,LOW,0.84,HIGH,0
DHL Express Global,2689.0,5,LOW,0.12,LOW,0
DHL Express Global,2376.4,4,LOW,0.07,HIGH,0
DHL Express Global,2236.1,4,MEDIUM,0.75,MEDIUM,1
Maersk Intermodal,2581.9,5,LOW,0.07,HIGH,0
Maersk Intermodal,2836.1,6,HIGH,0.83,HIGH,1
DHL Express Global,3003.8,7,LOW,0.57,HIGH,1
UPS Supply Chain Solutions,1849.0,5,HIGH,0.28,LOW,0
FedEx Freight,2349.3,4,MEDIUM,0.16,MEDIUM,1
DHL Express Global,2013.1,4,HIGH,0.89,MEDIUM,1
DHL Express Global,2989.3,6,HIGH,0.16,MEDIUM,1
DHL Express Global,1812.4,5,MEDIUM,0.07,MEDIUM,1
UPS Supply Chain Solutions,572.5,2,MEDIUM,0.67,HIGH,0
DHL Express Global,1456.2,3,MEDIUM,0.22,LOW,0
DHL Express Global,3178.9,6,LOW,0.84,MEDIUM,0
DHL Express Global,1873.3,4,MEDIUM,0.88,URGENT,1
Maersk Intermodal,3095.5,7,MEDIUM,0.28,HIGH,1
DHL Express Global,300.8,1,MEDIUM,0.59,HIGH,1
FedEx Freight,2270.4,5,MEDIUM,0.15,HIGH,1
FedEx Freight,1175.7,3,MEDIUM,0.28,LOW,1
DHL Express Global,3648.1,8,MEDIUM,0.32,URGENT,0
Maersk Intermodal,2138.4,4,HIGH,0.69,URGENT,1
DHL Express Global,2872.9,6,LOW,0.34,URGENT,1
DHL Express Global,1312.8,4,HIGH,0.11,URGENT,0
DHL Express Global,954.2,3,HIGH,0.04,LOW,1
DHL Express Global,1935.5,5,LOW,0.66,URGENT,0
Maersk Intermodal,1546.9,3,HIGH,0.26,LOW,1
DHL Express Global,2028.7,5,LOW,0.41,MEDIUM,1
FedEx Freight,2766.9,6,MEDIUM,0.15,MEDIUM,0
UPS Supply Chain Solutions,3403.7,7,MEDIUM,0.54,HIGH,1
FedEx Freight,2527.2,5,LOW,0.97,URGENT,1
Maersk Intermodal,334.3,1,MEDIUM,0.17,URGENT,1
DHL Express Global,3382.0,6,MEDIUM,0.67,LOW,1
UPS Supply Chain Solutions,1654.2,3,LOW,0.5,HIGH,0
DHL Express Global,3346.4,7,LOW,0.13,URGENT,1
Maersk Intermodal,3022.2,6,HIGH,0.88,LOW,1
DHL Express Global,570.5,1,HIGH,0.6,URGENT,0
FedEx Freight,1903.1,4,MEDIUM,0.46,HIGH,0
UPS Supply Chain Solutions,2495.6,5,LOW,0.5,URGENT,0
Maersk Intermodal,614.0,3,LOW,0.76,MEDIUM,0
UPS Supply Chain Solutions,1938.8,4,MEDIUM,0.98,HIGH,0
UPS Supply Chain Solutions,1198.0,2,HIGH,0.93,LOW,1
FedEx Freight,3655.6,8,HIGH,0.89,HIGH,1
FedEx Freight,2278.0,5,LOW,0.49,LOW,0
Maersk Intermodal,1845.3,4,MEDIUM,0.87,HIGH,1
FedEx Freight,2708.6,6,LOW,0.1,LOW,0
DHL Express Global,3431.5,6,MEDIUM,0.58,URGENT,1
UPS Supply Chain Solutions,3390.9,6,HIGH,0.89,URGENT,1
DHL Express Global,2955.4,5,MEDIUM,0.68,MEDIUM,1
DHL Express Global,1789.0,3,HIGH,0.48,URGENT,0
Maersk Intermodal,3506.0,7,MEDIUM,0.28,URGENT,1
Maersk Intermodal,689.4,3,MEDIUM,0.83,URGENT,1
Maersk Intermodal,3621.1,7,MEDIUM,0.46,MEDIUM,1
FedEx Freight,2996.5,6,MEDIUM,0.19,HIGH,0
Maersk Intermodal,2011.6,5,LOW,0.23,URGENT,0
DHL Express Global,788.1,3,MEDIUM,0.69,MEDIUM,1
DHL Express Global,3022.3,7,HIGH,0.04,HIGH,1
FedEx Freight,939.1,3,MEDIUM,0.81,LOW,0
FedEx Freight,2766.9,5,MEDIUM,0.12,MEDIUM,1
Maersk Intermodal,2043.7,5,LOW,0.19,MEDIUM,0
Maersk Intermodal,1092.9,2,MEDIUM,0.53,URGENT,0
Maersk Intermodal,2716.3,5,LOW,0.88,URGENT,1
UPS Supply Chain Solutions,377.5,2,MEDIUM,0.84,MEDIUM,0
UPS Supply Chain Solutions,3260.3,7,LOW,0.15,HIGH,0
UPS Supply Chain Solutions,699.4,2,HIGH,0.81,MEDIUM,1
DHL Express Global,431.5,2,MEDIUM,0.32,URGENT,0
Maersk Intermodal,3607.8,7,MEDIUM,0.59,MEDIUM,1
Maersk Intermodal,3258.5,7,LOW,0.46,MEDIUM,1
Maersk Intermodal,630.1,2,LOW,0.58,URGENT,0
FedEx Freight,441.0,1,MEDIUM,0.66,URGENT,0
Maersk Intermodal,1919.9,5,MEDIUM,0.78,LOW,0
FedEx Freight,3583.9,6,MEDIUM,0.52,MEDIUM,1
DHL Express Global,3253.6,6,MEDIUM,0.49,MEDIUM,0
Maersk Intermodal,2229.3,4,LOW,0.83,LOW,0
DHL Express Global,2557.8,5,MEDIUM,0.78,URGENT,0
Maersk Intermodal,336.8,2,MEDIUM,0.53,URGENT,0
UPS Supply Chain Solutions,3006.9,7,MEDIUM,0.3,MEDIUM,1
FedEx Freight,1026.2,2,LOW,0.04,LOW,1
FedEx Freight,1832.3,5,MEDIUM,0.11,LOW,1
UPS Supply Chain Solutions,503.0,2,MEDIUM,0.62,MEDIUM,0
Maersk Intermodal,3628.8,8,LOW,0.49,MEDIUM,1
DHL Express Global,331.0,1,LOW,0.55,LOW,0
FedEx Freight,3440.5,7,LOW,0.63,LOW,1
UPS Supply Chain Solutions,1814.6,4,MEDIUM,0.34,MEDIUM,0
UPS Supply Chain Solutions,809.5,3,MEDIUM,0.27,HIGH,0
UPS Supply Chain Solutions,3779.9,7,HIGH,0.89,LOW,1
Maersk Intermodal,3699.5,7,MEDIUM,0.41,LOW,1
FedEx Freight,449.7,1,HIGH,0.77,HIGH,0
FedEx Freight,3749.0,7,HIGH,0.63,LOW,1
FedEx Freight,2983.5,5,HIGH,0.09,MEDIUM,1
Maersk Intermodal,2134.3,5,HIGH,0.14,URGENT,1
UPS Supply Chain Solutions,2261.9,5,LOW,0.41,HIGH,0
DHL Express Global,439.8,1,LOW,0.24,LOW,0
UPS Supply Chain Solutions,1124.3,3,LOW,0.72,LOW,0
Maersk Intermodal,1858.5,5,MEDIUM,0.75,MEDIUM,0
Maersk Intermodal,492.7,1,LOW,0.47,MEDIUM,0
UPS Supply Chain Solutions,3563.6,6,LOW,0.84,MEDIUM,1
FedEx Freight,1624.2,4,LOW,0.49,HIGH,0
UPS Supply Chain Solutions,1818.0,5,MEDIUM,0.31,URGENT,1
DHL Express Global,1793.8,4,MEDIUM,0.36,MEDIUM,0
DHL Express Global,2132.9,4,LOW,0.64,URGENT,0
DHL Express Global,2358.2,4,LOW,0.87,LOW,0
Maersk Intermodal,2393.7,5,MEDIUM,0.85,MEDIUM,1
DHL Express Global,2678.8,5,MEDIUM,0.65,URGENT,0
FedEx Freight,2962.8,5,HIGH,0.57,URGENT,1
UPS Supply Chain Solutions,705.0,3,LOW,0.72,MEDIUM,0
FedEx Freight,3196.8,7,LOW,0.35,HIGH,0
UPS Supply Chain Solutions,1794.1,3,LOW,0.94,URGENT,0
Maersk Intermodal,1497.3,4,LOW,0.17,LOW,1
FedEx Freight,928.5,3,LOW,0.46,MEDIUM,0
UPS Supply Chain Solutions,1542.3,4,MEDIUM,0.86,MEDIUM,1
UPS Supply Chain Solutions,2374.5,5,HIGH,0.56,HIGH,1
UPS Supply Chain Solutions,3575.9,6,MEDIUM,0.19,URGENT,1
UPS Supply Chain Solutions,3311.7,6,LOW,0.77,URGENT,1
Maersk Intermodal,2508.7,5,MEDIUM,0.52,MEDIUM,0
FedEx Freight,3231.8,7,MEDIUM,0.89,HIGH,0
DHL Express Global,3021.7,7,LOW,0.59,LOW,1
UPS Supply Chain Solutions,1853.2,5,MEDIUM,0.33,LOW,1
DHL Express Global,719.4,3,LOW,0.67,URGENT,0
FedEx Freight,2095.4,4,LOW,0.41,HIGH,1
DHL Express Global,2162.8,5,LOW,0.38,MEDIUM,0
UPS Supply Chain Solutions,2807.7,5,MEDIUM,0.82,HIGH,1
UPS Supply Chain Solutions,2198.4,5,LOW,0.9,LOW,0
UPS Supply Chain Solutions,380.8,1,LOW,0.98,MEDIUM,1
Maersk Intermodal,1455.8,3,MEDIUM,0.4,URGENT,1
UPS Supply Chain Solutions,3514.1,6,MEDIUM,0.5,URGENT,1
DHL Express Global,3071.1,7,HIGH,0.05,HIGH,0
UPS Supply Chain Solutions,708.9,2,MEDIUM,0.02,LOW,0
FedEx Freight,3062.8,6,LOW,0.05,URGENT,0
FedEx Freight,3652.5,8,LOW,0.81,HIGH,0
DHL Express Global,1358.8,3,LOW,0.12,MEDIUM,0
FedEx Freight,2305.1,4,MEDIUM,0.57,LOW,0
DHL Express Global,2203.0,4,MEDIUM,0.81,MEDIUM,1
DHL Express Global,3037.4,7,LOW,0.53,MEDIUM,0
DHL Express Global,3430.8,7,MEDIUM,0.4,LOW,1
FedEx Freight,1602.4,3,HIGH,0.85,MEDIUM,1
Maersk Intermodal,3557.5,7,MEDIUM,0.11,LOW,1
FedEx Freight,828.6,2,LOW,0.06,HIGH,0
FedEx Freight,1550.4,3,LOW,0.66,MEDIUM,0
UPS Supply Chain Solutions,3293.3,6,MEDIUM,0.55,HIGH,0
UPS Supply Chain Solutions,1154.5,3,MEDIUM,0.87,HIGH,1
FedEx Freight,792.9,2,MEDIUM,0.72,HIGH,1
DHL Express Global,3394.7,7,MEDIUM,0.4,HIGH,1
DHL Express Global,2232.9,4,LOW,0.07,HIGH,0
DHL Express Global,1952.3,4,MEDIUM,0.98,LOW,1
Maersk Intermodal,2876.0,6,HIGH,0.9,HIGH,1
DHL Express Global,2330.2,4,MEDIUM,0.94,LOW,1
FedEx Freight,2179.5,4,MEDIUM,0.36,HIGH,1
FedEx Freight,1037.4,3,LOW,0.97,URGENT,1
Maersk Intermodal,1089.4,2,HIGH,0.94,URGENT,1
UPS Supply Chain Solutions,2252.0,5,MEDIUM,0.13,MEDIUM,0
UPS Supply Chain Solutions,643.1,2,MEDIUM,0.24,URGENT,0
UPS Supply Chain Solutions,1863.5,5,MEDIUM,0.22,URGENT,1
UPS Supply Chain Solutions,3157.2,6,LOW,0.39,URGENT,0
UPS Supply Chain Solutions,2723.5,6,LOW,0.93,MEDIUM,1
Maersk Intermodal,1241.1,4,MEDIUM,0.43,HIGH,0
Maersk Intermodal,911.9,3,HIGH,0.67,URGENT,1
UPS Supply Chain Solutions,1682.0,3,MEDIUM,0.36,LOW,1
Maersk Intermodal,1697.9,3,MEDIUM,0.7,LOW,1
FedEx Freight,2057.6,4,MEDIUM,0.68,LOW,0
DHL Express Global,1296.0,4,LOW,0.15,MEDIUM,0
UPS Supply Chain Solutions,3532.6,6,MEDIUM,0.12,URGENT,1
DHL Express Global,1754.5,3,LOW,0.88,URGENT,0
UPS Supply Chain Solutions,1746.3,4,MEDIUM,0.03,URGENT,0
DHL Express Global,2327.3,4,HIGH,0.49,MEDIUM,1
UPS Supply Chain Solutions,1275.9,4,HIGH,0.68,LOW,1
UPS Supply Chain Solutions,3067.6,6,LOW,0.33,MEDIUM,1
DHL Express Global,3517.4,7,LOW,0.16,URGENT,1
Maersk Intermodal,2804.2,6,LOW,0.55,MEDIUM,1
UPS Supply Chain Solutions,701.5,3,MEDIUM,0.74,LOW,1
UPS Supply Chain Solutions,714.1,2,MEDIUM,0.32,LOW,0
UPS Supply Chain Solutions,2361.1,5,HIGH,0.54,MEDIUM,1
DHL Express Global,3575.3,7,LOW,0.25,HIGH,1
DHL Express Global,3481.5,7,LOW,0.07,MEDIUM,0
UPS Supply Chain Solutions,3236.1,6,MEDIUM,0.24,HIGH,1
DHL Express Global,3655.0,8,LOW,1.0,LOW,1
DHL Express Global,1882.3,4,MEDIUM,0.04,URGENT,0
Maersk Intermodal,1776.9,4,MEDIUM,0.89,HIGH,0
UPS Supply Chain Solutions,1659.4,4,MEDIUM,0.4,HIGH,1
DHL Express Global,854.4,3,MEDIUM,0.33,HIGH,0
UPS Supply Chain Solutions,3799.3,7,MEDIUM,0.73,MEDIUM,1
FedEx Freight,2532.9,6,LOW,0.7,HIGH,1
FedEx Freight,1504.3,3,MEDIUM,0.55,HIGH,1
UPS Supply Chain Solutions,1406.2,4,MEDIUM,0.85,LOW,1
UPS Supply Chain Solutions,1131.1,3,MEDIUM,1.0,MEDIUM,1
UPS Supply Chain Solutions,3087.5,7,LOW,0.5,LOW,1
UPS Supply Chain Solutions,591.6,1,MEDIUM,0.55,HIGH,0
DHL Express Global,3652.7,7,LOW,0.17,HIGH,1
Maersk Intermodal,3335.7,6,MEDIUM,0.83,LOW,1
DHL Express Global,2742.9,6,HIGH,0.08,MEDIUM,1
UPS Supply Chain Solutions,3384.2,6,LOW,0.65,MEDIUM,1
DHL Express Global,1721.2,3,LOW,0.92,HIGH,0
FedEx Freight,1643.6,4,LOW,0.88,HIGH,0
Maersk Intermodal,2727.3,6,MEDIUM,0.72,LOW,1
FedEx Freight,1858.9,5,MEDIUM,0.45,URGENT,0
DHL Express Global,483.1,1,MEDIUM,0.74,HIGH,1
Maersk Intermodal,1127.1,2,LOW,0.11,HIGH,1
DHL Express Global,975.5,3,MEDIUM,0.03,MEDIUM,0
DHL Express Global,3608.1,8,MEDIUM,0.08,URGENT,1
Maersk Intermodal,1086.7,2,LOW,0.34,URGENT,1
DHL Express Global,2644.7,6,HIGH,0.47,MEDIUM,1
FedEx Freight,2241.4,5,LOW,0.6,URGENT,0
Maersk Intermodal,2538.1,6,MEDIUM,0.49,URGENT,1
UPS Supply Chain Solutions,3644.8,7,MEDIUM,0.03,HIGH,0
DHL Express Global,952.4,3,HIGH,0.23,LOW,1
UPS Supply Chain Solutions,1961.3,4,LOW,0.77,MEDIUM,1
UPS Supply Chain Solutions,329.7,2,HIGH,0.42,LOW,0
DHL Express Global,1416.1,3,MEDIUM,0.04,URGENT,0
FedEx Freight,969.5,2,MEDIUM,0.95,HIGH,0
UPS Supply Chain Solutions,2898.3,5,HIGH,0.91,URGENT,1
Maersk Intermodal,686.2,2,MEDIUM,0.32,MEDIUM,0
FedEx Freight,700.6,2,MEDIUM,0.42,HIGH,0
DHL Express Global,2785.5,6,LOW,0.37,LOW,0
Maersk Intermodal,2565.4,5,LOW,0.5,HIGH,1
DHL Express Global,2401.7,5,HIGH,0.68,MEDIUM,1
DHL Express Global,1455.9,3,LOW,0.16,LOW,0
Maersk Intermodal,2336.8,5,LOW,1.0,URGENT,0
Maersk Intermodal,3117.5,7,MEDIUM,0.33,URGENT,0
Maersk Intermodal,577.0,2,LOW,0.28,HIGH,0
DHL Express Global,1036.0,3,MEDIUM,0.51,HIGH,0
Maersk Intermodal,3727.0,8,MEDIUM,0.32,HIGH,1
DHL Express Global,3420.5,7,HIGH,0.2,MEDIUM,1
FedEx Freight,2126.4,4,MEDIUM,0.23,URGENT,0
DHL Express Global,3782.8,7,LOW,0.09,LOW,0
UPS Supply Chain Solutions,3302.3,6,LOW,0.81,URGENT,0
Maersk Intermodal,973.7,3,MEDIUM,0.87,MEDIUM,1
DHL Express Global,3657.2,8,HIGH,0.2,MEDIUM,1
DHL Express Global,2208.6,4,LOW,0.62,LOW,1
UPS Supply Chain Solutions,662.4,3,HIGH,0.98,MEDIUM,1
DHL Express Global,3423.3,6,MEDIUM,0.47,HIGH,0
Maersk Intermodal,962.3,3,HIGH,0.95,HIGH,1
UPS Supply Chain Solutions,1442.8,3,LOW,0.76,LOW,0
FedEx Freight,3040.5,6,HIGH,0.57,URGENT,1
FedEx Freight,2587.7,5,MEDIUM,0.64,URGENT,1
FedEx Freight,2458.1,6,MEDIUM,0.41,URGENT,0
Maersk Intermodal,3508.4,7,MEDIUM,0.49,URGENT,1
UPS Supply Chain Solutions,1546.5,4,LOW,0.62,LOW,0
Maersk Intermodal,2188.8,5,MEDIUM,0.7,MEDIUM,1
DHL Express Global,3792.6,7,MEDIUM,0.39,LOW,0
Maersk Intermodal,1145.7,3,HIGH,0.22,LOW,1
Maersk Intermodal,3763.4,8,MEDIUM,0.98,LOW,1
DHL Express Global,2216.2,5,HIGH,0.85,MEDIUM,1
DHL Express Global,2745.5,5,MEDIUM,0.28,URGENT,0
Maersk Intermodal,403.6,2,MEDIUM,0.59,HIGH,0
FedEx Freight,477.1,1,HIGH,0.98,URGENT,1
DHL Express Global,1496.0,4,MEDIUM,0.06,LOW,1
Maersk Intermodal,2747.2,6,LOW,0.77,URGENT,1
Maersk Intermodal,1543.6,3,MEDIUM,0.39,HIGH,1
FedEx Freight,2819.4,6,LOW,0.17,MEDIUM,1
FedEx Freight,1877.3,5,MEDIUM,0.64,URGENT,0
FedEx Freight,2978.2,5,LOW,0.63,LOW,1
UPS Supply Chain Solutions,1973.4,5,LOW,0.08,URGENT,0
DHL Express Global,3315.8,7,LOW,0.78,URGENT,1
FedEx Freight,3067.1,7,MEDIUM,0.04,LOW,0
Maersk Intermodal,2821.1,5,LOW,0.69,LOW,1
DHL Express Global,2796.1,5,HIGH,0.66,HIGH,1
FedEx Freight,1933.1,4,MEDIUM,0.52,LOW,1
FedEx Freight,2235.5,5,MEDIUM,0.37,URGENT,0
Maersk Intermodal,2695.6,5,LOW,0.5,MEDIUM,1
Maersk Intermodal,1112.5,3,MEDIUM,0.28,URGENT,0
FedEx Freight,2917.6,5,LOW,0.56,MEDIUM,0
Maersk Intermodal,1516.5,3,MEDIUM,0.48,MEDIUM,1
FedEx Freight,2702.5,6,MEDIUM,0.09,URGENT,0
UPS Supply Chain Solutions,568.1,2,HIGH,0.29,LOW,1
FedEx Freight,2384.3,4,HIGH,0.39,URGENT,0
UPS Supply Chain Solutions,3649.8,8,LOW,0.86,MEDIUM,1
FedEx Freight,2390.0,5,LOW,0.33,HIGH,1
FedEx Freight,339.3,1,MEDIUM,0.24,LOW,0
DHL Express Global,979.6,2,LOW,0.19,HIGH,0
UPS Supply Chain Solutions,2760.0,6,HIGH,0.37,HIGH,0
DHL Express Global,2534.8,5,MEDIUM,0.61,URGENT,0
UPS Supply Chain Solutions,2271.8,5,MEDIUM,0.07,MEDIUM,1
Maersk Intermodal,2875.8,6,MEDIUM,0.67,URGENT,1
DHL Express Global,1656.0,3,MEDIUM,0.72,MEDIUM,1
UPS Supply Chain Solutions,570.5,1,HIGH,0.54,LOW,1
DHL Express Global,2930.7,6,MEDIUM,0.81,HIGH,1
DHL Express Global,503.2,1,HIGH,0.23,MEDIUM,1
FedEx Freight,3401.2,6,HIGH,0.77,LOW,1
Maersk Intermodal,951.5,3,LOW,0.36,HIGH,0
Maersk Intermodal,2717.2,6,LOW,0.37,URGENT,1
Maersk Intermodal,322.7,2,MEDIUM,0.06,MEDIUM,0
UPS Supply Chain Solutions,1101.6,3,MEDIUM,0.53,MEDIUM,0
Maersk Intermodal,2595.5,5,MEDIUM,0.21,URGENT,0
UPS Supply Chain Solutions,2213.3,4,MEDIUM,0.6,MEDIUM,0
FedEx Freight,469.9,2,MEDIUM,0.37,LOW,0
UPS Supply Chain Solutions,2939.7,6,HIGH,0.49,LOW,0
Maersk Intermodal,519.5,1,MEDIUM,0.47,LOW,0
Maersk Intermodal,3093.7,6,MEDIUM,0.22,LOW,1
DHL Express Global,1235.2,4,LOW,0.18,HIGH,1
DHL Express Global,2870.4,5,MEDIUM,0.88,HIGH,0
UPS Supply Chain Solutions,2314.5,5,MEDIUM,0.05,URGENT,0
FedEx Freight,3488.7,6,LOW,0.55,MEDIUM,0
DHL Express Global,1027.6,3,LOW,0.01,URGENT,0
Maersk Intermodal,1631.3,3,MEDIUM,0.11,URGENT,1
DHL Express Global,3250.4,7,MEDIUM,0.46,HIGH,0
FedEx Freight,595.9,2,LOW,0.21,URGENT,1
DHL Express Global,2683.4,5,HIGH,0.72,LOW,1
DHL Express Global,3790.8,8,LOW,0.55,LOW,0
FedEx Freight,1823.5,5,LOW,0.93,HIGH,0
DHL Express Global,1963.6,4,MEDIUM,0.88,URGENT,1
DHL Express Global,1799.2,3,LOW,0.49,LOW,0
UPS Supply Chain Solutions,1187.1,3,LOW,0.83,HIGH,0
UPS Supply Chain Solutions,1802.2,4,LOW,0.42,LOW,0
Maersk Intermodal,2408.8,6,LOW,0.14,HIGH,1
DHL Express Global,3009.7,6,LOW,0.2,LOW,0
UPS Supply Chain Solutions,3125.2,6,MEDIUM,0.3,HIGH,0
UPS Supply Chain Solutions,1625.4,4,HIGH,0.52,URGENT,1
FedEx Freight,1917.8,5,MEDIUM,0.69,MEDIUM,0
DHL Express Global,3488.8,7,HIGH,0.3,MEDIUM,0
DHL Express Global,311.8,2,LOW,0.0,MEDIUM,0
Maersk Intermodal,3061.4,6,LOW,0.29,URGENT,0
DHL Express Global,3045.3,7,MEDIUM,0.08,HIGH,0
UPS Supply Chain Solutions,3283.2,6,MEDIUM,0.01,LOW,1
FedEx Freight,554.9,2,LOW,0.21,HIGH,1
FedEx Freight,455.0,1,MEDIUM,0.94,URGENT,0
DHL Express Global,3075.9,7,LOW,0.88,LOW,0
UPS Supply Chain Solutions,1565.9,4,MEDIUM,0.71,HIGH,0
DHL Express Global,2182.1,4,LOW,0.48,LOW,0
FedEx Freight,1060.3,3,LOW,0.36,HIGH,0
DHL Express Global,2401.0,5,LOW,0.75,HIGH,0
Maersk Intermodal,1712.9,4,MEDIUM,0.7,HIGH,1
DHL Express Global,811.8,2,LOW,0.1,URGENT,1
UPS Supply Chain Solutions,3190.5,6,MEDIUM,0.96,LOW,0
DHL Express Global,2591.4,5,LOW,0.02,MEDIUM,0
FedEx Freight,2231.3,5,MEDIUM,0.9,MEDIUM,1
FedEx Freight,2906.4,6,LOW,0.37,HIGH,1
DHL Express Global,3442.0,7,LOW,0.1,URGENT,0
FedEx Freight,3599.3,6,LOW,0.68,MEDIUM,0
Maersk Intermodal,2560.8,6,LOW,0.79,URGENT,1
DHL Express Global,3377.1,7,MEDIUM,0.2,HIGH,0
DHL Express Global,1036.6,2,HIGH,0.7,LOW,1
DHL Express Global,2467.1,5,MEDIUM,0.45,MEDIUM,1
Maersk Intermodal,793.7,2,LOW,0.31,URGENT,1
FedEx Freight,1505.3,4,MEDIUM,0.37,MEDIUM,0
FedEx Freight,3573.7,6,LOW,0.21,LOW,0
FedEx Freight,3315.9,6,LOW,0.27,MEDIUM,0
DHL Express Global,1203.2,3,LOW,0.86,URGENT,1
UPS Supply Chain Solutions,2710.6,5,MEDIUM,0.9,LOW,1
Maersk Intermodal,3421.5,7,LOW,0.46,URGENT,1
Maersk Intermodal,1344.4,3,MEDIUM,0.77,LOW,1
DHL Express Global,919.0,3,MEDIUM,0.25,HIGH,1
Maersk Intermodal,703.4,2,MEDIUM,0.02,HIGH,0
Maersk Intermodal,3748.7,8,MEDIUM,0.09,URGENT,1
UPS Supply Chain Solutions,2070.7,4,HIGH,0.34,MEDIUM,0
FedEx Freight,2579.9,5,HIGH,0.32,MEDIUM,1
FedEx Freight,1536.9,3,LOW,0.03,LOW,0
DHL Express Global,931.7,2,LOW,0.49,MEDIUM,0
FedEx Freight,872.1,2,LOW,0.5,MEDIUM,0
DHL Express Global,1269.0,4,MEDIUM,0.12,URGENT,1
DHL Express Global,782.7,3,LOW,0.26,MEDIUM,0
DHL Express Global,757.2,2,MEDIUM,0.25,URGENT,1
UPS Supply Chain Solutions,1916.2,4,MEDIUM,0.1,MEDIUM,1
FedEx Freight,1219.9,3,LOW,0.62,MEDIUM,0
DHL Express Global,1317.3,4,MEDIUM,0.01,LOW,0
DHL Express Global,3315.2,6,HIGH,0.05,HIGH,1
FedEx Freight,801.5,2,MEDIUM,0.03,LOW,0
DHL Express Global,1182.8,2,MEDIUM,0.69,LOW,0
FedEx Freight,1286.0,4,MEDIUM,0.24,MEDIUM,0
DHL Express Global,3002.0,6,LOW,0.14,HIGH,0
DHL Express Global,3610.5,8,MEDIUM,0.48,MEDIUM,0
DHL Express Global,2244.3,4,MEDIUM,0.19,LOW,0
DHL Express Global,2988.8,5,MEDIUM,0.38,HIGH,1
UPS Supply Chain Solutions,318.2,2,LOW,0.4,MEDIUM,0
FedEx Freight,1429.9,4,LOW,0.16,MEDIUM,0
Maersk Intermodal,3423.5,6,MEDIUM,0.57,MEDIUM,0
FedEx Freight,2805.1,5,MEDIUM,0.61,HIGH,1
FedEx Freight,2300.9,5,LOW,0.63,LOW,0
DHL Express Global,2929.4,6,LOW,0.0,HIGH,0
DHL Express Global,3710.9,7,LOW,0.08,HIGH,0
UPS Supply Chain Solutions,3299.4,6,LOW,0.39,LOW,0
DHL Express Global,2206.7,4,HIGH,0.62,LOW,0
Maersk Intermodal,671.1,3,LOW,0.44,LOW,0
FedEx Freight,2759.4,6,LOW,0.26,URGENT,0
Maersk Intermodal,536.3,2,MEDIUM,0.75,LOW,0
UPS Supply Chain Solutions,3134.6,7,LOW,0.03,HIGH,0
Maersk Intermodal,851.8,2,MEDIUM,0.64,HIGH,0
Maersk Intermodal,2284.3,5,HIGH,0.8,LOW,1
DHL Express Global,479.1,1,MEDIUM,0.35,LOW,0
FedEx Freight,385.6,1,MEDIUM,0.84,MEDIUM,1
DHL Express Global,2257.7,5,LOW,0.2,HIGH,0
Maersk Intermodal,1237.1,3,LOW,0.62,HIGH,0
Maersk Intermodal,2234.3,5,LOW,0.78,MEDIUM,1
UPS Supply Chain Solutions,1167.6,3,HIGH,0.99,HIGH,1
DHL Express Global,1987.7,5,MEDIUM,0.95,MEDIUM,0
FedEx Freight,2715.5,5,LOW,0.7,LOW,0
Maersk Intermodal,832.9,2,HIGH,0.65,HIGH,1
Maersk Intermodal,360.6,1,MEDIUM,0.43,MEDIUM,0
Maersk Intermodal,2835.3,5,MEDIUM,0.23,URGENT,0
UPS Supply Chain Solutions,3189.0,6,MEDIUM,0.93,LOW,1
UPS Supply Chain Solutions,3670.6,7,MEDIUM,0.24,URGENT,1
Maersk Intermodal,2148.5,5,MEDIUM,0.72,MEDIUM,1
FedEx Freight,2581.7,5,HIGH,0.06,MEDIUM,1
Maersk Intermodal,1810.4,4,LOW,0.42,HIGH,0
DHL Express Global,1515.7,3,HIGH,0.48,MEDIUM,0
FedEx Freight,2740.0,6,MEDIUM,0.97,MEDIUM,1
FedEx Freight,3543.9,7,MEDIUM,0.44,HIGH,1
DHL Express Global,1184.5,3,MEDIUM,0.65,HIGH,0
Maersk Intermodal,345.9,1,HIGH,0.48,HIGH,1
FedEx Freight,2573.5,5,LOW,0.27,MEDIUM,0
DHL Express Global,2336.5,4,MEDIUM,0.45,MEDIUM,1
UPS Supply Chain Solutions,3296.5,7,LOW,0.79,URGENT,1
DHL Express Global,1238.0,4,HIGH,0.67,URGENT,1
DHL Express Global,460.2,1,HIGH,0.68,MEDIUM,1
DHL Express Global,2189.0,4,MEDIUM,0.76,LOW,0
FedEx Freight,1092.0,3,MEDIUM,0.18,URGENT,0
